"Sujeitos","Itens","Ant","Verbo","RT","Pos","Estudo"
"1651770384","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",679,"7","Beraldo (2022)"
"1651770384","André correu nas praias que chovem frequentemente.","PP","PL",745,"7","Beraldo (2022)"
"1651770384","Paulo visitou as nações que nevam excessivamente.","NP","PL",2212,"7","Beraldo (2022)"
"1651770384","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1623,"7","Beraldo (2022)"
"1651770384","Camila fotografou os locais que trovejam frequentemente.","NP","PL",541,"7","Beraldo (2022)"
"1651770384","Ana amou os países que chovem torrencialmente.","NP","PL",1481,"7","Beraldo (2022)"
"1651771441","Amanda olhou as colinas que venta rigorosamente.","NP","SG",3037,"7","Beraldo (2022)"
"1651771441","Letícia viu as serras que troveja diariamente.","NP","SG",880,"7","Beraldo (2022)"
"1651771441","Roberto brincou nos desertos que ventam intensamente.","PP","PL",2416,"7","Beraldo (2022)"
"1651771441","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1554,"7","Beraldo (2022)"
"1651771441","Gabriel adorou os estados que chove suavemente.","NP","SG",2192,"7","Beraldo (2022)"
"1651771441","Nilton ficou nas planícies que venta loucamente.","PP","SG",617,"7","Beraldo (2022)"
"1651771441","André correu nas praias que chovem frequentemente.","PP","PL",5033,"7","Beraldo (2022)"
"1651771441","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",509,"7","Beraldo (2022)"
"1651771441","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1617,"7","Beraldo (2022)"
"1651771441","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1165,"7","Beraldo (2022)"
"1651771441","Sandra morou nas cidades que neva moderadamente.","PP","SG",1402,"7","Beraldo (2022)"
"1651771441","Camila fotografou os locais que trovejam frequentemente.","NP","PL",852,"7","Beraldo (2022)"
"1651771441","Ana amou os países que chovem torrencialmente.","NP","PL",1632,"7","Beraldo (2022)"
"1651771441","Pedro avistou os montes que neva subitamente.","NP","SG",542,"7","Beraldo (2022)"
"1651771441","Maria conheceu as regiões que ventam repentinamente.","NP","PL",455,"7","Beraldo (2022)"
"1651771441","Paulo visitou as nações que nevam excessivamente.","NP","PL",1449,"7","Beraldo (2022)"
"1651772236","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",901,"7","Beraldo (2022)"
"1651772236","Ana amou os países que chovem torrencialmente.","NP","PL",729,"7","Beraldo (2022)"
"1651772236","Amanda olhou as colinas que venta rigorosamente.","NP","SG",667,"7","Beraldo (2022)"
"1651772236","Sandra morou nas cidades que neva moderadamente.","PP","SG",536,"7","Beraldo (2022)"
"1651772236","Nilton ficou nas planícies que venta loucamente.","PP","SG",520,"7","Beraldo (2022)"
"1651772236","Paulo visitou as nações que nevam excessivamente.","NP","PL",765,"7","Beraldo (2022)"
"1651772236","Letícia viu as serras que troveja diariamente.","NP","SG",498,"7","Beraldo (2022)"
"1651772236","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",707,"7","Beraldo (2022)"
"1651772236","Camila fotografou os locais que trovejam frequentemente.","NP","PL",547,"7","Beraldo (2022)"
"1651772236","Pedro avistou os montes que neva subitamente.","NP","SG",560,"7","Beraldo (2022)"
"1651772236","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",447,"7","Beraldo (2022)"
"1651772236","André correu nas praias que chovem frequentemente.","PP","PL",539,"7","Beraldo (2022)"
"1651772236","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",483,"7","Beraldo (2022)"
"1651772236","Gabriel adorou os estados que chove suavemente.","NP","SG",514,"7","Beraldo (2022)"
"1651772236","Maria conheceu as regiões que ventam repentinamente.","NP","PL",588,"7","Beraldo (2022)"
"1651772236","Roberto brincou nos desertos que ventam intensamente.","PP","PL",458,"7","Beraldo (2022)"
"1651772664","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1509,"7","Beraldo (2022)"
"1651772664","Roberto brincou nos desertos que ventam intensamente.","PP","PL",1740,"7","Beraldo (2022)"
"1651772664","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",747,"7","Beraldo (2022)"
"1651772664","Pedro avistou os montes que neva subitamente.","NP","SG",1859,"7","Beraldo (2022)"
"1651772664","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",791,"7","Beraldo (2022)"
"1651772664","Letícia viu as serras que troveja diariamente.","NP","SG",655,"7","Beraldo (2022)"
"1651772664","Sandra morou nas cidades que neva moderadamente.","PP","SG",601,"7","Beraldo (2022)"
"1651772664","Camila fotografou os locais que trovejam frequentemente.","NP","PL",569,"7","Beraldo (2022)"
"1651772664","Nilton ficou nas planícies que venta loucamente.","PP","SG",569,"7","Beraldo (2022)"
"1651772664","Gabriel adorou os estados que chove suavemente.","NP","SG",594,"7","Beraldo (2022)"
"1651772664","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1598,"7","Beraldo (2022)"
"1651772664","Ana amou os países que chovem torrencialmente.","NP","PL",611,"7","Beraldo (2022)"
"1651772664","André correu nas praias que chovem frequentemente.","PP","PL",928,"7","Beraldo (2022)"
"1651772664","Paulo visitou as nações que nevam excessivamente.","NP","PL",2174,"7","Beraldo (2022)"
"1651772664","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1570,"7","Beraldo (2022)"
"1651772664","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",516,"7","Beraldo (2022)"
"1651773225","Camila fotografou os locais que trovejam frequentemente.","NP","PL",1249,"7","Beraldo (2022)"
"1651773225","Nilton ficou nas planícies que venta loucamente.","PP","SG",1856,"7","Beraldo (2022)"
"1651773225","Ana amou os países que chovem torrencialmente.","NP","PL",1124,"7","Beraldo (2022)"
"1651773225","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1136,"7","Beraldo (2022)"
"1651773225","Paulo visitou as nações que nevam excessivamente.","NP","PL",1787,"7","Beraldo (2022)"
"1651773225","Pedro avistou os montes que neva subitamente.","NP","SG",1475,"7","Beraldo (2022)"
"1651773225","Sandra morou nas cidades que neva moderadamente.","PP","SG",2475,"7","Beraldo (2022)"
"1651773225","Letícia viu as serras que troveja diariamente.","NP","SG",2926,"7","Beraldo (2022)"
"1651773225","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",933,"7","Beraldo (2022)"
"1651773225","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1496,"7","Beraldo (2022)"
"1651773225","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1215,"7","Beraldo (2022)"
"1651773225","Roberto brincou nos desertos que ventam intensamente.","PP","PL",900,"7","Beraldo (2022)"
"1651773225","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1001,"7","Beraldo (2022)"
"1651773225","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1103,"7","Beraldo (2022)"
"1651773225","André correu nas praias que chovem frequentemente.","PP","PL",1080,"7","Beraldo (2022)"
"1651773225","Gabriel adorou os estados que chove suavemente.","NP","SG",1126,"7","Beraldo (2022)"
"1651773624","Sandra morou nas cidades que neva moderadamente.","PP","SG",518,"7","Beraldo (2022)"
"1651773624","André correu nas praias que chovem frequentemente.","PP","PL",549,"7","Beraldo (2022)"
"1651773624","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",549,"7","Beraldo (2022)"
"1651773624","Paulo visitou as nações que nevam excessivamente.","NP","PL",617,"7","Beraldo (2022)"
"1651773624","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",569,"7","Beraldo (2022)"
"1651773624","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",710,"7","Beraldo (2022)"
"1651773624","Letícia viu as serras que troveja diariamente.","NP","SG",884,"7","Beraldo (2022)"
"1651773624","Pedro avistou os montes que neva subitamente.","NP","SG",231,"7","Beraldo (2022)"
"1651773624","Roberto brincou nos desertos que ventam intensamente.","PP","PL",638,"7","Beraldo (2022)"
"1651773624","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",543,"7","Beraldo (2022)"
"1651773624","Maria conheceu as regiões que ventam repentinamente.","NP","PL",215,"7","Beraldo (2022)"
"1651773624","Camila fotografou os locais que trovejam frequentemente.","NP","PL",375,"7","Beraldo (2022)"
"1651773624","Gabriel adorou os estados que chove suavemente.","NP","SG",722,"7","Beraldo (2022)"
"1651773624","Amanda olhou as colinas que venta rigorosamente.","NP","SG",610,"7","Beraldo (2022)"
"1651773624","Ana amou os países que chovem torrencialmente.","NP","PL",572,"7","Beraldo (2022)"
"1651773624","Nilton ficou nas planícies que venta loucamente.","PP","SG",305,"7","Beraldo (2022)"
"1651773747","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",944,"7","Beraldo (2022)"
"1651773747","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",560,"7","Beraldo (2022)"
"1651773747","Ana amou os países que chovem torrencialmente.","NP","PL",864,"7","Beraldo (2022)"
"1651773747","Maria conheceu as regiões que ventam repentinamente.","NP","PL",560,"7","Beraldo (2022)"
"1651773747","Sandra morou nas cidades que neva moderadamente.","PP","SG",688,"7","Beraldo (2022)"
"1651773747","Pedro avistou os montes que neva subitamente.","NP","SG",496,"7","Beraldo (2022)"
"1651773747","Nilton ficou nas planícies que venta loucamente.","PP","SG",672,"7","Beraldo (2022)"
"1651773747","Roberto brincou nos desertos que ventam intensamente.","PP","PL",640,"7","Beraldo (2022)"
"1651773747","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",529,"7","Beraldo (2022)"
"1651773747","Camila fotografou os locais que trovejam frequentemente.","NP","PL",640,"7","Beraldo (2022)"
"1651773747","Letícia viu as serras que troveja diariamente.","NP","SG",496,"7","Beraldo (2022)"
"1651773747","Amanda olhou as colinas que venta rigorosamente.","NP","SG",768,"7","Beraldo (2022)"
"1651773747","Gabriel adorou os estados que chove suavemente.","NP","SG",465,"7","Beraldo (2022)"
"1651773747","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",512,"7","Beraldo (2022)"
"1651773747","André correu nas praias que chovem frequentemente.","PP","PL",560,"7","Beraldo (2022)"
"1651773747","Paulo visitou as nações que nevam excessivamente.","NP","PL",544,"7","Beraldo (2022)"
"1651773842","Camila fotografou os locais que trovejam frequentemente.","NP","PL",600,"7","Beraldo (2022)"
"1651773842","Roberto brincou nos desertos que ventam intensamente.","PP","PL",786,"7","Beraldo (2022)"
"1651773842","Ana amou os países que chovem torrencialmente.","NP","PL",418,"7","Beraldo (2022)"
"1651773842","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",548,"7","Beraldo (2022)"
"1651773842","Paulo visitou as nações que nevam excessivamente.","NP","PL",562,"7","Beraldo (2022)"
"1651773842","Pedro avistou os montes que neva subitamente.","NP","SG",365,"7","Beraldo (2022)"
"1651773842","Nilton ficou nas planícies que venta loucamente.","PP","SG",368,"7","Beraldo (2022)"
"1651773842","Sandra morou nas cidades que neva moderadamente.","PP","SG",366,"7","Beraldo (2022)"
"1651773842","Maria conheceu as regiões que ventam repentinamente.","NP","PL",618,"7","Beraldo (2022)"
"1651773842","Amanda olhou as colinas que venta rigorosamente.","NP","SG",345,"7","Beraldo (2022)"
"1651773842","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",868,"7","Beraldo (2022)"
"1651773842","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",417,"7","Beraldo (2022)"
"1651773842","Gabriel adorou os estados que chove suavemente.","NP","SG",564,"7","Beraldo (2022)"
"1651773842","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",335,"7","Beraldo (2022)"
"1651773842","Letícia viu as serras que troveja diariamente.","NP","SG",536,"7","Beraldo (2022)"
"1651773842","André correu nas praias que chovem frequentemente.","PP","PL",449,"7","Beraldo (2022)"
"1651773897","Pedro avistou os montes que neva subitamente.","NP","SG",1299,"7","Beraldo (2022)"
"1651773897","Gabriel adorou os estados que chove suavemente.","NP","SG",1180,"7","Beraldo (2022)"
"1651773897","Sandra morou nas cidades que neva moderadamente.","PP","SG",646,"7","Beraldo (2022)"
"1651773897","André correu nas praias que chovem frequentemente.","PP","PL",1106,"7","Beraldo (2022)"
"1651773897","Amanda olhou as colinas que venta rigorosamente.","NP","SG",337,"7","Beraldo (2022)"
"1651773897","Nilton ficou nas planícies que venta loucamente.","PP","SG",1559,"7","Beraldo (2022)"
"1651773897","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",583,"7","Beraldo (2022)"
"1651773897","Paulo visitou as nações que nevam excessivamente.","NP","PL",400,"7","Beraldo (2022)"
"1651773897","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",323,"7","Beraldo (2022)"
"1651773897","Camila fotografou os locais que trovejam frequentemente.","NP","PL",572,"7","Beraldo (2022)"
"1651773897","Letícia viu as serras que troveja diariamente.","NP","SG",1465,"7","Beraldo (2022)"
"1651773897","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",997,"7","Beraldo (2022)"
"1651773897","Maria conheceu as regiões que ventam repentinamente.","NP","PL",636,"7","Beraldo (2022)"
"1651773897","Ana amou os países que chovem torrencialmente.","NP","PL",361,"7","Beraldo (2022)"
"1651773897","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",476,"7","Beraldo (2022)"
"1651773897","Roberto brincou nos desertos que ventam intensamente.","PP","PL",604,"7","Beraldo (2022)"
"1651775356","Paulo visitou as nações que nevam excessivamente.","NP","PL",655,"7","Beraldo (2022)"
"1651775356","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",601,"7","Beraldo (2022)"
"1651775356","Camila fotografou os locais que trovejam frequentemente.","NP","PL",515,"7","Beraldo (2022)"
"1651775356","Letícia viu as serras que troveja diariamente.","NP","SG",476,"7","Beraldo (2022)"
"1651775356","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",2521,"7","Beraldo (2022)"
"1651775356","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",469,"7","Beraldo (2022)"
"1651775356","Maria conheceu as regiões que ventam repentinamente.","NP","PL",375,"7","Beraldo (2022)"
"1651775356","Nilton ficou nas planícies que venta loucamente.","PP","SG",1400,"7","Beraldo (2022)"
"1651775356","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",717,"7","Beraldo (2022)"
"1651775356","Sandra morou nas cidades que neva moderadamente.","PP","SG",422,"7","Beraldo (2022)"
"1651775356","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1092,"7","Beraldo (2022)"
"1651775356","Gabriel adorou os estados que chove suavemente.","NP","SG",333,"7","Beraldo (2022)"
"1651775356","Ana amou os países que chovem torrencialmente.","NP","PL",393,"7","Beraldo (2022)"
"1651775356","André correu nas praias que chovem frequentemente.","PP","PL",608,"7","Beraldo (2022)"
"1651775356","Roberto brincou nos desertos que ventam intensamente.","PP","PL",2728,"7","Beraldo (2022)"
"1651775356","Pedro avistou os montes que neva subitamente.","NP","SG",389,"7","Beraldo (2022)"
"1651775916","Maria conheceu as regiões que ventam repentinamente.","NP","PL",532,"7","Beraldo (2022)"
"1651775916","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",685,"7","Beraldo (2022)"
"1651775916","Nilton ficou nas planícies que venta loucamente.","PP","SG",797,"7","Beraldo (2022)"
"1651775916","André correu nas praias que chovem frequentemente.","PP","PL",2411,"7","Beraldo (2022)"
"1651775916","Paulo visitou as nações que nevam excessivamente.","NP","PL",762,"7","Beraldo (2022)"
"1651775916","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",645,"7","Beraldo (2022)"
"1651775916","Roberto brincou nos desertos que ventam intensamente.","PP","PL",381,"7","Beraldo (2022)"
"1651775916","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1215,"7","Beraldo (2022)"
"1651775916","Letícia viu as serras que troveja diariamente.","NP","SG",987,"7","Beraldo (2022)"
"1651775916","Gabriel adorou os estados que chove suavemente.","NP","SG",418,"7","Beraldo (2022)"
"1651775916","Sandra morou nas cidades que neva moderadamente.","PP","SG",723,"7","Beraldo (2022)"
"1651775916","Camila fotografou os locais que trovejam frequentemente.","NP","PL",684,"7","Beraldo (2022)"
"1651775916","Pedro avistou os montes que neva subitamente.","NP","SG",491,"7","Beraldo (2022)"
"1651775916","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",798,"7","Beraldo (2022)"
"1651775916","Ana amou os países que chovem torrencialmente.","NP","PL",1216,"7","Beraldo (2022)"
"1651775916","Amanda olhou as colinas que venta rigorosamente.","NP","SG",381,"7","Beraldo (2022)"
"1651776386","Letícia viu as serras que troveja diariamente.","NP","SG",1141,"7","Beraldo (2022)"
"1651776386","Amanda olhou as colinas que venta rigorosamente.","NP","SG",517,"7","Beraldo (2022)"
"1651776386","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",784,"7","Beraldo (2022)"
"1651776386","Camila fotografou os locais que trovejam frequentemente.","NP","PL",468,"7","Beraldo (2022)"
"1651776386","Ana amou os países que chovem torrencialmente.","NP","PL",1233,"7","Beraldo (2022)"
"1651776386","Pedro avistou os montes que neva subitamente.","NP","SG",537,"7","Beraldo (2022)"
"1651776386","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",533,"7","Beraldo (2022)"
"1651776386","Nilton ficou nas planícies que venta loucamente.","PP","SG",402,"7","Beraldo (2022)"
"1651776386","Gabriel adorou os estados que chove suavemente.","NP","SG",457,"7","Beraldo (2022)"
"1651776386","Maria conheceu as regiões que ventam repentinamente.","NP","PL",921,"7","Beraldo (2022)"
"1651776386","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",485,"7","Beraldo (2022)"
"1651776386","Sandra morou nas cidades que neva moderadamente.","PP","SG",382,"7","Beraldo (2022)"
"1651776386","Paulo visitou as nações que nevam excessivamente.","NP","PL",470,"7","Beraldo (2022)"
"1651776386","Roberto brincou nos desertos que ventam intensamente.","PP","PL",449,"7","Beraldo (2022)"
"1651776386","André correu nas praias que chovem frequentemente.","PP","PL",392,"7","Beraldo (2022)"
"1651776386","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",453,"7","Beraldo (2022)"
"1651777046","Ana amou os países que chovem torrencialmente.","NP","PL",625,"7","Beraldo (2022)"
"1651777046","Camila fotografou os locais que trovejam frequentemente.","NP","PL",492,"7","Beraldo (2022)"
"1651777046","Sandra morou nas cidades que neva moderadamente.","PP","SG",739,"7","Beraldo (2022)"
"1651777046","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",563,"7","Beraldo (2022)"
"1651777046","Nilton ficou nas planícies que venta loucamente.","PP","SG",1475,"7","Beraldo (2022)"
"1651777046","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",490,"7","Beraldo (2022)"
"1651777046","Amanda olhou as colinas que venta rigorosamente.","NP","SG",458,"7","Beraldo (2022)"
"1651777046","Letícia viu as serras que troveja diariamente.","NP","SG",435,"7","Beraldo (2022)"
"1651777046","Maria conheceu as regiões que ventam repentinamente.","NP","PL",399,"7","Beraldo (2022)"
"1651777046","Gabriel adorou os estados que chove suavemente.","NP","SG",419,"7","Beraldo (2022)"
"1651777046","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",461,"7","Beraldo (2022)"
"1651777046","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",379,"7","Beraldo (2022)"
"1651777046","Pedro avistou os montes que neva subitamente.","NP","SG",411,"7","Beraldo (2022)"
"1651777046","Paulo visitou as nações que nevam excessivamente.","NP","PL",511,"7","Beraldo (2022)"
"1651777046","André correu nas praias que chovem frequentemente.","PP","PL",572,"7","Beraldo (2022)"
"1651777046","Roberto brincou nos desertos que ventam intensamente.","PP","PL",708,"7","Beraldo (2022)"
"1651779468","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",671,"7","Beraldo (2022)"
"1651779468","André correu nas praias que chovem frequentemente.","PP","PL",460,"7","Beraldo (2022)"
"1651779468","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",463,"7","Beraldo (2022)"
"1651779468","Maria conheceu as regiões que ventam repentinamente.","NP","PL",590,"7","Beraldo (2022)"
"1651779468","Amanda olhou as colinas que venta rigorosamente.","NP","SG",304,"7","Beraldo (2022)"
"1651779468","Letícia viu as serras que troveja diariamente.","NP","SG",309,"7","Beraldo (2022)"
"1651779468","Camila fotografou os locais que trovejam frequentemente.","NP","PL",278,"7","Beraldo (2022)"
"1651779468","Pedro avistou os montes que neva subitamente.","NP","SG",428,"7","Beraldo (2022)"
"1651779468","Paulo visitou as nações que nevam excessivamente.","NP","PL",311,"7","Beraldo (2022)"
"1651779468","Ana amou os países que chovem torrencialmente.","NP","PL",342,"7","Beraldo (2022)"
"1651779468","Sandra morou nas cidades que neva moderadamente.","PP","SG",861,"7","Beraldo (2022)"
"1651779468","Roberto brincou nos desertos que ventam intensamente.","PP","PL",620,"7","Beraldo (2022)"
"1651779468","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",347,"7","Beraldo (2022)"
"1651779468","Nilton ficou nas planícies que venta loucamente.","PP","SG",631,"7","Beraldo (2022)"
"1651779468","Gabriel adorou os estados que chove suavemente.","NP","SG",1348,"7","Beraldo (2022)"
"1651779468","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",342,"7","Beraldo (2022)"
"1651780967","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",839,"7","Beraldo (2022)"
"1651780967","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1341,"7","Beraldo (2022)"
"1651780967","André correu nas praias que chovem frequentemente.","PP","PL",1033,"7","Beraldo (2022)"
"1651780967","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",918,"7","Beraldo (2022)"
"1651780967","Nilton ficou nas planícies que venta loucamente.","PP","SG",574,"7","Beraldo (2022)"
"1651780967","Gabriel adorou os estados que chove suavemente.","NP","SG",1187,"7","Beraldo (2022)"
"1651780967","Letícia viu as serras que troveja diariamente.","NP","SG",764,"7","Beraldo (2022)"
"1651780967","Sandra morou nas cidades que neva moderadamente.","PP","SG",861,"7","Beraldo (2022)"
"1651780967","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",479,"7","Beraldo (2022)"
"1651780967","Roberto brincou nos desertos que ventam intensamente.","PP","PL",459,"7","Beraldo (2022)"
"1651780967","Pedro avistou os montes que neva subitamente.","NP","SG",1912,"7","Beraldo (2022)"
"1651780967","Camila fotografou os locais que trovejam frequentemente.","NP","PL",2488,"7","Beraldo (2022)"
"1651780967","Amanda olhou as colinas que venta rigorosamente.","NP","SG",687,"7","Beraldo (2022)"
"1651780967","Paulo visitou as nações que nevam excessivamente.","NP","PL",535,"7","Beraldo (2022)"
"1651780967","Maria conheceu as regiões que ventam repentinamente.","NP","PL",534,"7","Beraldo (2022)"
"1651780967","Ana amou os países que chovem torrencialmente.","NP","PL",592,"7","Beraldo (2022)"
"1651781041","Gabriel adorou os estados que chove suavemente.","NP","SG",1336,"7","Beraldo (2022)"
"1651781041","Roberto brincou nos desertos que ventam intensamente.","PP","PL",897,"7","Beraldo (2022)"
"1651781041","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",936,"7","Beraldo (2022)"
"1651781041","Pedro avistou os montes que neva subitamente.","NP","SG",1672,"7","Beraldo (2022)"
"1651781041","Ana amou os países que chovem torrencialmente.","NP","PL",888,"7","Beraldo (2022)"
"1651781041","Camila fotografou os locais que trovejam frequentemente.","NP","PL",512,"7","Beraldo (2022)"
"1651781041","Amanda olhou as colinas que venta rigorosamente.","NP","SG",736,"7","Beraldo (2022)"
"1651781041","Paulo visitou as nações que nevam excessivamente.","NP","PL",608,"7","Beraldo (2022)"
"1651781041","Nilton ficou nas planícies que venta loucamente.","PP","SG",624,"7","Beraldo (2022)"
"1651781041","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",648,"7","Beraldo (2022)"
"1651781041","Letícia viu as serras que troveja diariamente.","NP","SG",584,"7","Beraldo (2022)"
"1651781041","André correu nas praias que chovem frequentemente.","PP","PL",1552,"7","Beraldo (2022)"
"1651781041","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1104,"7","Beraldo (2022)"
"1651781041","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1473,"7","Beraldo (2022)"
"1651781041","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",849,"7","Beraldo (2022)"
"1651781041","Sandra morou nas cidades que neva moderadamente.","PP","SG",609,"7","Beraldo (2022)"
"1651781343","Pedro avistou os montes que neva subitamente.","NP","SG",560,"7","Beraldo (2022)"
"1651781343","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1422,"7","Beraldo (2022)"
"1651781343","Paulo visitou as nações que nevam excessivamente.","NP","PL",377,"7","Beraldo (2022)"
"1651781343","Sandra morou nas cidades que neva moderadamente.","PP","SG",657,"7","Beraldo (2022)"
"1651781343","Ana amou os países que chovem torrencialmente.","NP","PL",665,"7","Beraldo (2022)"
"1651781343","Roberto brincou nos desertos que ventam intensamente.","PP","PL",528,"7","Beraldo (2022)"
"1651781343","André correu nas praias que chovem frequentemente.","PP","PL",392,"7","Beraldo (2022)"
"1651781343","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",573,"7","Beraldo (2022)"
"1651781343","Letícia viu as serras que troveja diariamente.","NP","SG",641,"7","Beraldo (2022)"
"1651781343","Amanda olhou as colinas que venta rigorosamente.","NP","SG",382,"7","Beraldo (2022)"
"1651781343","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",532,"7","Beraldo (2022)"
"1651781343","Gabriel adorou os estados que chove suavemente.","NP","SG",601,"7","Beraldo (2022)"
"1651781343","Nilton ficou nas planícies que venta loucamente.","PP","SG",536,"7","Beraldo (2022)"
"1651781343","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",421,"7","Beraldo (2022)"
"1651781343","Camila fotografou os locais que trovejam frequentemente.","NP","PL",541,"7","Beraldo (2022)"
"1651781343","Maria conheceu as regiões que ventam repentinamente.","NP","PL",497,"7","Beraldo (2022)"
"1651782087","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",768,"7","Beraldo (2022)"
"1651782087","André correu nas praias que chovem frequentemente.","PP","PL",816,"7","Beraldo (2022)"
"1651782087","Pedro avistou os montes que neva subitamente.","NP","SG",1408,"7","Beraldo (2022)"
"1651782087","Sandra morou nas cidades que neva moderadamente.","PP","SG",672,"7","Beraldo (2022)"
"1651782087","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1008,"7","Beraldo (2022)"
"1651782087","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1376,"7","Beraldo (2022)"
"1651782087","Ana amou os países que chovem torrencialmente.","NP","PL",31,"7","Beraldo (2022)"
"1651782087","Paulo visitou as nações que nevam excessivamente.","NP","PL",528,"7","Beraldo (2022)"
"1651782087","Letícia viu as serras que troveja diariamente.","NP","SG",544,"7","Beraldo (2022)"
"1651782087","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",592,"7","Beraldo (2022)"
"1651782087","Gabriel adorou os estados que chove suavemente.","NP","SG",704,"7","Beraldo (2022)"
"1651782087","Nilton ficou nas planícies que venta loucamente.","PP","SG",447,"7","Beraldo (2022)"
"1651782087","Amanda olhou as colinas que venta rigorosamente.","NP","SG",48,"7","Beraldo (2022)"
"1651782087","Roberto brincou nos desertos que ventam intensamente.","PP","PL",576,"7","Beraldo (2022)"
"1651782087","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",656,"7","Beraldo (2022)"
"1651782087","Camila fotografou os locais que trovejam frequentemente.","NP","PL",544,"7","Beraldo (2022)"
"1651782355","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1520,"7","Beraldo (2022)"
"1651782355","Maria conheceu as regiões que ventam repentinamente.","NP","PL",3567,"7","Beraldo (2022)"
"1651782355","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",1183,"7","Beraldo (2022)"
"1651782355","André correu nas praias que chovem frequentemente.","PP","PL",552,"7","Beraldo (2022)"
